regiao;tipo_estabelecimento;ano;resultado;n_conformidades;tempo_resolucao;tipo_conformidade;gravidade_conformidade;tamanho_estabelecimento;numero_fiscalizacoes_previas;tipo_acao_corretiva;status_acao_corretiva;categoria_produtos;licenca_valida;dias_desde_ultima_fiscalizacao;inspecao_planejada;fiscal_responsavel
Nordeste;Distribuidora;2020;Conforme;2;204;Boas Práticas de Fabricação;Média;Pequeno;2;Requalificação de Pessoal;Em Progresso;Medicamentos;Não;130;Planejada;1033
Sul;Laboratório;2023;Não Conforme;9;272;Registro de Produtos;Alta;Pequeno;2;Reformulação de Produtos;Em Progresso;Saneantes;Não;302;Planejada;1058
Nordeste;Indústria de Cosméticos;2018;Conforme;1;32;Armazenamento;Alta;Grande;0;Melhoria de Infraestrutura;Pendente;Alimentos;Não;327;Não Planejada;1060
Sudeste;Laboratório;2020;Conforme;0;23;Condições Sanitárias;Baixa;Médio;3;Requalificação de Pessoal;Concluída;Saneantes;Sim;384;Planejada;1051
Sudeste;Laboratório;2019;Não Conforme;9;102;Rotulagem;Alta;Médio;0;Adequação de Processo;Pendente;Saneantes;Sim;538;Planejada;1062
Sudeste;Indústria de Saneantes;2023;Conforme;1;162;Condições Sanitárias;Alta;Pequeno;2;Melhoria de Infraestrutura;Pendente;Cosméticos;Não;703;Não Planejada;1025
Sudeste;Laboratório;2018;Conforme;7;98;Armazenamento;Média;Pequeno;2;Melhoria de Infraestrutura;Concluída;Medicamentos;Não;49;Não Planejada;1076
Sul;Farmácia;2020;Não Conforme;7;144;Armazenamento;Alta;Pequeno;0;Requalificação de Pessoal;Concluída;Cosméticos;Não;319;Não Planejada;1011
Centro-Oeste;Indústria de Saneantes;2019;Conforme;2;104;Rotulagem;Média;Médio;4;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Sim;21;Planejada;1021
Norte;Clínica;2019;Conforme;6;324;Condições Sanitárias;Média;Pequeno;1;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Sim;433;Não Planejada;1072
Sudeste;Clínica;2018;Não Conforme;6;171;Registro de Produtos;Alta;Médio;4;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Não;591;Planejada;1055
Nordeste;Indústria de Cosméticos;2021;Conforme;1;64;Registro de Produtos;Alta;Médio;4;Melhoria de Infraestrutura;Pendente;Alimentos;Sim;592;Não Planejada;1005
Sudeste;Indústria de Cosméticos;2022;Não Conforme;8;244;Condições Sanitárias;Alta;Médio;4;Melhoria de Infraestrutura;Concluída;Alimentos;Não;9;Não Planejada;1035
Nordeste;Laboratório;2018;Conforme;2;71;Registro de Produtos;Alta;Grande;4;Melhoria de Infraestrutura;Concluída;Saneantes;Não;149;Não Planejada;1073
Nordeste;Indústria de Saneantes;2019;Não Conforme;1;274;Condições Sanitárias;Baixa;Grande;1;Reformulação de Produtos;Em Progresso;Cosméticos;Não;437;Não Planejada;1058
Sudeste;Indústria de Saneantes;2019;Não Conforme;2;125;Condições Sanitárias;Média;Pequeno;3;Requalificação de Pessoal;Pendente;Saneantes;Sim;499;Planejada;1058
Sul;Farmácia;2018;Conforme;1;317;Armazenamento;Baixa;Médio;0;Reformulação de Produtos;Pendente;Cosméticos;Não;55;Não Planejada;1095
Nordeste;Laboratório;2021;Não Conforme;7;331;Boas Práticas de Fabricação;Baixa;Pequeno;4;Requalificação de Pessoal;Concluída;Medicamentos;Sim;297;Não Planejada;1067
Nordeste;Farmácia;2022;Conforme;4;107;Armazenamento;Média;Médio;4;Melhoria de Infraestrutura;Concluída;Medicamentos;Não;518;Não Planejada;1051
Sudeste;Laboratório;2020;Conforme;2;148;Registro de Produtos;Baixa;Pequeno;0;Requalificação de Pessoal;Concluída;Cosméticos;Não;704;Planejada;1067
Nordeste;Hospital;2018;Não Conforme;4;192;Boas Práticas de Fabricação;Alta;Pequeno;0;Reformulação de Produtos;Concluída;Cosméticos;Sim;229;Não Planejada;1076
Nordeste;Hospital;2022;Conforme;7;337;Condições Sanitárias;Alta;Grande;3;Requalificação de Pessoal;Pendente;Alimentos;Sim;247;Planejada;1079
Sudeste;Distribuidora;2022;Conforme;6;226;Registro de Produtos;Alta;Grande;2;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Não;282;Não Planejada;1050
Sudeste;Laboratório;2023;Não Conforme;5;242;Rotulagem;Alta;Grande;3;Melhoria de Infraestrutura;Concluída;Alimentos;Sim;257;Planejada;1089
Norte;Indústria de Saneantes;2019;Conforme;0;362;Registro de Produtos;Média;Grande;2;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;93;Planejada;1096
Sul;Indústria de Cosméticos;2020;Conforme;9;284;Boas Práticas de Fabricação;Alta;Médio;1;Reformulação de Produtos;Concluída;Alimentos;Não;214;Planejada;1067
Sul;Clínica;2018;Não Conforme;0;163;Boas Práticas de Fabricação;Média;Pequeno;3;Adequação de Processo;Pendente;Saneantes;Sim;553;Planejada;1025
Nordeste;Distribuidora;2019;Conforme;0;8;Condições Sanitárias;Média;Pequeno;1;Melhoria de Infraestrutura;Em Progresso;Alimentos;Não;668;Planejada;1072
Sul;Indústria de Cosméticos;2023;Conforme;9;347;Rotulagem;Média;Médio;0;Melhoria de Infraestrutura;Pendente;Saneantes;Não;133;Planejada;1040
Nordeste;Hospital;2023;Não Conforme;7;152;Condições Sanitárias;Média;Médio;3;Requalificação de Pessoal;Em Progresso;Alimentos;Não;497;Não Planejada;1074
Norte;Laboratório;2019;Conforme;7;322;Rotulagem;Baixa;Pequeno;0;Adequação de Processo;Pendente;Medicamentos;Não;86;Planejada;1004
Sudeste;Distribuidora;2021;Conforme;6;95;Rotulagem;Baixa;Grande;4;Requalificação de Pessoal;Concluída;Alimentos;Não;596;Planejada;1052
Sudeste;Laboratório;2022;Não Conforme;5;214;Condições Sanitárias;Alta;Grande;0;Reformulação de Produtos;Concluída;Cosméticos;Não;396;Não Planejada;1037
Sudeste;Hospital;2018;Conforme;3;64;Registro de Produtos;Média;Grande;4;Adequação de Processo;Em Progresso;Saneantes;Não;547;Planejada;1095
Sul;Distribuidora;2018;Conforme;0;65;Armazenamento;Alta;Médio;2;Melhoria de Infraestrutura;Pendente;Cosméticos;Sim;249;Planejada;1092
Norte;Hospital;2018;Não Conforme;8;270;Rotulagem;Alta;Pequeno;4;Adequação de Processo;Em Progresso;Cosméticos;Sim;637;Não Planejada;1091
Sul;Farmácia;2019;Não Conforme;0;25;Boas Práticas de Fabricação;Alta;Médio;2;Melhoria de Infraestrutura;Pendente;Medicamentos;Não;564;Não Planejada;1052
Sul;Hospital;2021;Conforme;3;100;Condições Sanitárias;Alta;Pequeno;4;Reformulação de Produtos;Concluída;Alimentos;Não;289;Não Planejada;1087
Norte;Indústria de Saneantes;2020;Conforme;2;105;Registro de Produtos;Média;Grande;4;Requalificação de Pessoal;Em Progresso;Medicamentos;Sim;409;Não Planejada;1055
Norte;Indústria de Saneantes;2023;Não Conforme;6;131;Rotulagem;Média;Grande;1;Reformulação de Produtos;Em Progresso;Alimentos;Não;309;Planejada;1018
Norte;Laboratório;2019;Conforme;4;321;Registro de Produtos;Baixa;Grande;1;Reformulação de Produtos;Concluída;Cosméticos;Sim;61;Planejada;1064
Norte;Clínica;2020;Conforme;4;19;Condições Sanitárias;Média;Pequeno;0;Melhoria de Infraestrutura;Concluída;Alimentos;Sim;504;Planejada;1068
Sudeste;Hospital;2023;Conforme;3;225;Boas Práticas de Fabricação;Média;Grande;1;Requalificação de Pessoal;Concluída;Medicamentos;Sim;527;Não Planejada;1086
Centro-Oeste;Indústria de Cosméticos;2023;Não Conforme;0;106;Rotulagem;Alta;Pequeno;2;Reformulação de Produtos;Concluída;Saneantes;Não;311;Não Planejada;1052
Centro-Oeste;Indústria de Saneantes;2021;Conforme;4;54;Rotulagem;Média;Médio;1;Adequação de Processo;Concluída;Medicamentos;Não;693;Não Planejada;1018
Norte;Clínica;2022;Conforme;3;226;Registro de Produtos;Alta;Grande;0;Reformulação de Produtos;Concluída;Medicamentos;Sim;200;Não Planejada;1065
Centro-Oeste;Farmácia;2018;Não Conforme;9;360;Condições Sanitárias;Média;Médio;3;Melhoria de Infraestrutura;Pendente;Medicamentos;Sim;353;Planejada;1047
Centro-Oeste;Distribuidora;2020;Não Conforme;7;15;Armazenamento;Baixa;Médio;2;Adequação de Processo;Pendente;Saneantes;Não;75;Não Planejada;1065
Norte;Distribuidora;2019;Não Conforme;1;48;Rotulagem;Alta;Pequeno;3;Adequação de Processo;Em Progresso;Cosméticos;Não;271;Não Planejada;1072
Centro-Oeste;Indústria de Saneantes;2020;Conforme;7;139;Boas Práticas de Fabricação;Média;Médio;2;Requalificação de Pessoal;Pendente;Medicamentos;Sim;21;Planejada;1017
Sul;Clínica;2022;Conforme;0;34;Rotulagem;Média;Pequeno;0;Adequação de Processo;Em Progresso;Medicamentos;Sim;36;Não Planejada;1079
Nordeste;Indústria de Saneantes;2018;Não Conforme;3;355;Rotulagem;Alta;Pequeno;1;Adequação de Processo;Pendente;Medicamentos;Sim;198;Não Planejada;1038
Nordeste;Distribuidora;2020;Conforme;2;210;Armazenamento;Baixa;Médio;3;Melhoria de Infraestrutura;Pendente;Saneantes;Não;153;Planejada;1072
Norte;Hospital;2022;Conforme;4;19;Armazenamento;Baixa;Pequeno;3;Requalificação de Pessoal;Concluída;Saneantes;Não;44;Não Planejada;1050
Sudeste;Clínica;2019;Conforme;4;196;Condições Sanitárias;Média;Pequeno;1;Reformulação de Produtos;Pendente;Saneantes;Sim;641;Não Planejada;1022
Norte;Laboratório;2021;Conforme;4;326;Rotulagem;Média;Pequeno;0;Adequação de Processo;Pendente;Cosméticos;Não;554;Planejada;1032
Sudeste;Hospital;2023;Não Conforme;3;115;Rotulagem;Média;Médio;1;Reformulação de Produtos;Pendente;Alimentos;Não;545;Não Planejada;1059
Nordeste;Hospital;2019;Não Conforme;7;352;Registro de Produtos;Alta;Pequeno;4;Reformulação de Produtos;Concluída;Cosméticos;Sim;510;Não Planejada;1058
Norte;Hospital;2018;Conforme;2;75;Registro de Produtos;Alta;Grande;4;Reformulação de Produtos;Concluída;Cosméticos;Não;416;Planejada;1097
Sul;Laboratório;2023;Não Conforme;3;150;Boas Práticas de Fabricação;Alta;Médio;4;Requalificação de Pessoal;Pendente;Cosméticos;Não;409;Planejada;1025
Centro-Oeste;Farmácia;2019;Conforme;0;36;Boas Práticas de Fabricação;Média;Médio;3;Reformulação de Produtos;Em Progresso;Alimentos;Sim;296;Não Planejada;1016
Sudeste;Indústria de Cosméticos;2019;Conforme;6;242;Registro de Produtos;Baixa;Pequeno;3;Melhoria de Infraestrutura;Pendente;Medicamentos;Sim;627;Planejada;1052
Centro-Oeste;Indústria de Saneantes;2019;Não Conforme;0;151;Boas Práticas de Fabricação;Alta;Médio;0;Requalificação de Pessoal;Concluída;Saneantes;Não;203;Planejada;1077
Centro-Oeste;Distribuidora;2019;Não Conforme;1;63;Rotulagem;Baixa;Grande;2;Requalificação de Pessoal;Concluída;Cosméticos;Não;576;Não Planejada;1076
Norte;Indústria de Saneantes;2023;Conforme;6;154;Armazenamento;Média;Médio;1;Requalificação de Pessoal;Em Progresso;Saneantes;Sim;368;Não Planejada;1085
Centro-Oeste;Clínica;2018;Conforme;0;188;Rotulagem;Alta;Médio;2;Requalificação de Pessoal;Concluída;Saneantes;Não;426;Não Planejada;1042
Sul;Farmácia;2022;Conforme;2;223;Registro de Produtos;Alta;Médio;3;Adequação de Processo;Concluída;Saneantes;Sim;210;Não Planejada;1047
Centro-Oeste;Clínica;2020;Conforme;5;93;Condições Sanitárias;Alta;Pequeno;1;Adequação de Processo;Pendente;Medicamentos;Sim;598;Planejada;1081
Norte;Indústria de Saneantes;2021;Não Conforme;5;5;Condições Sanitárias;Média;Grande;3;Reformulação de Produtos;Em Progresso;Saneantes;Sim;460;Planejada;1019
Sul;Distribuidora;2020;Não Conforme;5;166;Registro de Produtos;Média;Grande;0;Adequação de Processo;Concluída;Saneantes;Não;362;Não Planejada;1093
Nordeste;Laboratório;2020;Conforme;1;25;Rotulagem;Média;Grande;1;Requalificação de Pessoal;Concluída;Medicamentos;Sim;476;Planejada;1034
Centro-Oeste;Indústria de Saneantes;2021;Conforme;1;98;Boas Práticas de Fabricação;Baixa;Médio;3;Reformulação de Produtos;Pendente;Saneantes;Não;304;Não Planejada;1032
Norte;Hospital;2023;Não Conforme;5;268;Boas Práticas de Fabricação;Baixa;Grande;4;Melhoria de Infraestrutura;Pendente;Alimentos;Sim;185;Não Planejada;1080
Nordeste;Indústria de Saneantes;2018;Conforme;9;150;Condições Sanitárias;Alta;Pequeno;4;Adequação de Processo;Pendente;Alimentos;Sim;265;Planejada;1098
Nordeste;Hospital;2021;Não Conforme;4;252;Registro de Produtos;Alta;Médio;3;Requalificação de Pessoal;Pendente;Cosméticos;Não;414;Não Planejada;1075
Sudeste;Laboratório;2018;Conforme;6;84;Registro de Produtos;Média;Pequeno;2;Reformulação de Produtos;Em Progresso;Alimentos;Sim;402;Não Planejada;1001
Sul;Indústria de Saneantes;2023;Não Conforme;6;285;Armazenamento;Média;Médio;0;Adequação de Processo;Pendente;Alimentos;Sim;173;Planejada;1033
Centro-Oeste;Farmácia;2020;Conforme;4;172;Condições Sanitárias;Média;Pequeno;0;Requalificação de Pessoal;Em Progresso;Alimentos;Não;728;Não Planejada;1075
Norte;Farmácia;2018;Conforme;7;221;Registro de Produtos;Alta;Médio;3;Reformulação de Produtos;Concluída;Medicamentos;Não;83;Não Planejada;1089
Sudeste;Clínica;2023;Conforme;9;109;Armazenamento;Média;Pequeno;0;Adequação de Processo;Concluída;Alimentos;Sim;590;Planejada;1031
Sul;Laboratório;2023;Não Conforme;5;27;Boas Práticas de Fabricação;Baixa;Grande;1;Melhoria de Infraestrutura;Pendente;Saneantes;Sim;322;Não Planejada;1020
Sudeste;Farmácia;2022;Não Conforme;4;246;Condições Sanitárias;Baixa;Médio;0;Adequação de Processo;Pendente;Cosméticos;Não;346;Não Planejada;1004
Sul;Indústria de Saneantes;2021;Conforme;3;55;Condições Sanitárias;Alta;Médio;4;Requalificação de Pessoal;Pendente;Saneantes;Sim;72;Não Planejada;1027
Sul;Laboratório;2022;Conforme;6;133;Registro de Produtos;Alta;Pequeno;3;Requalificação de Pessoal;Concluída;Saneantes;Sim;451;Não Planejada;1086
Centro-Oeste;Distribuidora;2020;Conforme;3;52;Registro de Produtos;Baixa;Pequeno;1;Melhoria de Infraestrutura;Concluída;Alimentos;Sim;653;Não Planejada;1047
Sul;Hospital;2021;Conforme;4;253;Rotulagem;Média;Pequeno;0;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;208;Não Planejada;1095
Sudeste;Indústria de Saneantes;2020;Não Conforme;4;269;Boas Práticas de Fabricação;Alta;Médio;4;Reformulação de Produtos;Em Progresso;Saneantes;Não;342;Planejada;1068
Sul;Hospital;2022;Não Conforme;0;298;Boas Práticas de Fabricação;Alta;Pequeno;2;Reformulação de Produtos;Concluída;Cosméticos;Não;33;Não Planejada;1098
Centro-Oeste;Hospital;2023;Não Conforme;0;79;Armazenamento;Alta;Grande;0;Requalificação de Pessoal;Pendente;Alimentos;Não;382;Não Planejada;1069
Centro-Oeste;Laboratório;2020;Conforme;2;18;Armazenamento;Baixa;Pequeno;4;Adequação de Processo;Em Progresso;Saneantes;Sim;386;Não Planejada;1082
Sudeste;Laboratório;2021;Conforme;2;306;Rotulagem;Alta;Pequeno;4;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Não;109;Planejada;1039
Nordeste;Clínica;2021;Não Conforme;1;258;Boas Práticas de Fabricação;Baixa;Pequeno;4;Reformulação de Produtos;Em Progresso;Saneantes;Não;162;Planejada;1005
Nordeste;Hospital;2020;Conforme;1;343;Armazenamento;Baixa;Grande;4;Requalificação de Pessoal;Concluída;Saneantes;Não;16;Não Planejada;1013
Sul;Clínica;2021;Não Conforme;5;107;Boas Práticas de Fabricação;Média;Pequeno;2;Requalificação de Pessoal;Concluída;Cosméticos;Não;14;Não Planejada;1066
Norte;Hospital;2023;Não Conforme;0;47;Boas Práticas de Fabricação;Média;Pequeno;3;Requalificação de Pessoal;Concluída;Cosméticos;Sim;246;Não Planejada;1010
Sul;Clínica;2023;Não Conforme;5;246;Armazenamento;Média;Médio;4;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;46;Planejada;1038
Sudeste;Clínica;2021;Não Conforme;4;89;Registro de Produtos;Alta;Médio;3;Melhoria de Infraestrutura;Pendente;Alimentos;Não;625;Planejada;1040
Sudeste;Distribuidora;2020;Conforme;5;203;Registro de Produtos;Baixa;Pequeno;2;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Sim;555;Planejada;1023
Sudeste;Clínica;2022;Não Conforme;4;240;Armazenamento;Alta;Médio;2;Adequação de Processo;Em Progresso;Alimentos;Sim;402;Planejada;1042
Sudeste;Laboratório;2021;Conforme;6;268;Rotulagem;Baixa;Pequeno;1;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Não;48;Não Planejada;1081
Sudeste;Clínica;2021;Não Conforme;0;13;Condições Sanitárias;Alta;Pequeno;1;Requalificação de Pessoal;Em Progresso;Medicamentos;Não;704;Não Planejada;1094
Centro-Oeste;Hospital;2021;Não Conforme;2;137;Boas Práticas de Fabricação;Baixa;Grande;4;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Não;410;Não Planejada;1073
Nordeste;Clínica;2021;Não Conforme;5;315;Condições Sanitárias;Média;Pequeno;3;Adequação de Processo;Pendente;Alimentos;Sim;714;Planejada;1025
Sudeste;Farmácia;2020;Não Conforme;0;173;Armazenamento;Média;Médio;2;Adequação de Processo;Pendente;Alimentos;Não;454;Planejada;1028
Norte;Indústria de Cosméticos;2022;Conforme;6;230;Boas Práticas de Fabricação;Alta;Médio;0;Requalificação de Pessoal;Em Progresso;Saneantes;Sim;142;Planejada;1001
Norte;Hospital;2022;Conforme;3;198;Condições Sanitárias;Baixa;Médio;1;Reformulação de Produtos;Em Progresso;Cosméticos;Sim;450;Não Planejada;1029
Norte;Farmácia;2018;Conforme;2;243;Registro de Produtos;Média;Médio;1;Melhoria de Infraestrutura;Concluída;Alimentos;Sim;189;Planejada;1073
Norte;Hospital;2021;Conforme;9;43;Rotulagem;Baixa;Pequeno;0;Melhoria de Infraestrutura;Em Progresso;Saneantes;Sim;457;Não Planejada;1075
Centro-Oeste;Laboratório;2021;Não Conforme;8;330;Condições Sanitárias;Alta;Grande;3;Adequação de Processo;Pendente;Medicamentos;Não;116;Planejada;1083
Norte;Indústria de Cosméticos;2018;Conforme;0;279;Rotulagem;Média;Grande;3;Adequação de Processo;Concluída;Alimentos;Sim;514;Planejada;1056
Sudeste;Indústria de Cosméticos;2022;Conforme;7;79;Registro de Produtos;Alta;Pequeno;3;Reformulação de Produtos;Pendente;Cosméticos;Não;13;Não Planejada;1058
Sul;Laboratório;2019;Não Conforme;0;279;Condições Sanitárias;Alta;Médio;4;Adequação de Processo;Concluída;Medicamentos;Sim;277;Planejada;1018
Norte;Indústria de Cosméticos;2023;Conforme;4;232;Armazenamento;Baixa;Grande;4;Adequação de Processo;Concluída;Alimentos;Não;252;Não Planejada;1053
Centro-Oeste;Laboratório;2019;Conforme;9;101;Boas Práticas de Fabricação;Alta;Grande;0;Adequação de Processo;Em Progresso;Cosméticos;Não;228;Planejada;1069
Centro-Oeste;Farmácia;2022;Conforme;7;162;Registro de Produtos;Alta;Pequeno;2;Adequação de Processo;Pendente;Alimentos;Não;146;Planejada;1022
Norte;Distribuidora;2021;Conforme;5;144;Rotulagem;Baixa;Médio;0;Reformulação de Produtos;Pendente;Cosméticos;Sim;217;Não Planejada;1082
